day,wt_diff_mean,wt_diff_std,hrv_mean,lf_hf_ratio,rr_full,rr_deep
1,-1.143,1.331,37.713,3.158,14.4,14.4
2,-1.39,1.081,51.765,2.248,15.0,15.0
3,-1.091,1.276,40.796,3.01,15.4,15.4
4,-1.085,1.399,52.068,2.549,14.4,14.4
5,-1.62,1.729,53.14,2.738,14.0,14.0
6,-1.893,1.457,35.79,3.342,14.3,14.3
7,-1.361,1.929,50.327,2.853,14.2,14.2
8,-0.699,1.198,47.294,3.113,14.2,14.2
9,-0.809,1.106,49.661,2.999,14.6,14.6
10,-1.36,1.203,38.945,4.498,14.4,14.4
11,-1.16,2.15,34.388,5.289,0.0,-1.0
12,-1.988,1.679,33.012,4.549,15.4,15.4
13,-1.724,1.454,41.669,3.279,14.4,14.4
14,-1.192,1.88,51.718,2.925,13.8,13.8
15,-1.247,1.366,46.072,3.278,13.8,13.8
16,-0.751,1.224,49.642,3.402,13.8,13.8
17,-1.803,2.152,54.938,1.538,14.6,14.6
18,-0.201,2.045,22.985,3.286,14.2,14.467
19,-1.062,1.236,25.475,3.818,14.6,14.6
20,-1.332,1.365,35.116,2.074,14.35,14.35
21,-1.601,2.264,32.847,1.576,14.35,14.35
22,-0.942,1.443,57.576,2.084,14.6,14.6
23,-1.216,1.715,50.972,2.211,14.5,14.5
24,-1.302,1.538,58.735,2.659,14.8,14.8
25,-1.288,1.745,61.715,2.606,14.667,14.667
26,-1.147,1.905,49.924,3.078,15.35,15.35
27,-2.057,2.54,45.585,2.606,15.4,15.4
28,-1.353,1.463,47.991,3.189,14.2,14.2
