day,wt_diff_mean,wt_diff_std,hrv_mean,lf_hf_ratio,rr_full,rr_deep
1,-2.135,2.371,46.127,1.536,15.6,15.6
2,-0.849,1.461,45.417,1.603,15.6,15.6
3,-1.568,2.066,44.951,1.769,16.0,16.0
4,-1.848,2.217,39.763,1.847,15.8,15.8
5,-1.264,1.796,36.868,2.076,16.2,16.2
6,-0.967,1.434,34.342,2.948,16.2,16.2
7,-3.2,2.554,31.814,2.208,16.6,16.6
8,-1.247,1.64,35.559,2.161,17.2,17.2
9,-1.351,1.823,42.925,2.15,16.6,16.6
10,-2.407,2.324,44.869,1.681,16.8,16.8
11,-2.363,2.424,41.646,1.784,16.2,16.2
12,-1.948,2.041,42.261,1.619,16.4,16.4
13,-2.427,2.064,49.104,1.372,15.2,15.2
14,-2.848,3.127,38.525,2.547,15.6,15.6
15,-2.146,1.516,45.613,1.749,16.6,16.6
16,-1.242,1.268,48.487,1.467,15.2,15.2
17,-1.717,1.622,46.636,2.017,15.6,15.6
18,-1.269,1.441,49.468,1.511,16.4,16.4
19,-1.995,1.722,56.129,1.488,16.0,16.0
20,-1.771,1.449,44.867,1.937,16.2,16.2
21,-2.515,1.757,48.924,2.079,15.6,15.6
22,-1.57,1.653,40.754,2.53,15.6,15.6
23,-1.799,1.639,45.833,1.993,15.4,15.4
24,-2.343,1.751,47.234,2.257,15.9,15.9
25,-1.924,1.52,41.461,2.049,15.4,15.4
26,-2.871,2.089,49.705,1.43,16.0,16.0
27,-2.511,2.04,38.652,1.77,16.0,16.0
28,-1.16,1.634,45.163,1.791,16.0,16.0
